"Name","Place Type","Place Tags","Keg Count","Address","City","State","Postcode","Country","Place Radius (m)"
"San Fransisco Brewery","Brewery",,"268","7898 Dublin Boulevard","Dublin","California","94568","United States","50"
"Sydney Brewery","Brewery",,"261","Robey Street","Mascot","New South Wales","2020","Australia","50"
"San Jose Warehouse","Warehouse",,"184","2005 South Bascom Avenue","Campbell","California","95008","United States","50"
"Randwick Warehouse","Warehouse",,"177","112 Belmore Road","Randwick","New South Wales","2031","Australia","50"
"Parramatta Warehouse","Warehouse",,"122","3 Marsh Street","Clyde","New South Wales","2142","Australia","50"
"Pittsburgh Brewery","Brewery",,"115","3122 Lebanon Church Road","West Mifflin","Pennsylvania","15122","United States","50"
"San Fransisco Warehouse","Warehouse",,"107","1710 Del Paso Boulevard","Sacramento","California","95815","United States","50"
"Manchester Brewery","Brewery",,"105","77 Thomas Street",,"England","M4 1LQ","United Kingdom","50"
"Manchester Warehouse","Warehouse",,"90","11 The Quays",,"England","M50 3SQ","United Kingdom","50"
"Clairsville Warehouse","Warehouse",,"87","51681 National Road East","Saint Clairsville","Ohio","43950","United States","50"
"Morgantown Warehouse","Warehouse",,"75","123 Moreland Street","Morgantown","West Virginia","26505","United States","50"
"Liverpool Warehouse","Warehouse",,"58","19 South John Street",,"England","L1 8BU","United Kingdom","50"
"North Sydney Harbourview Hotel","Venue",,"4","104 Kirribilli Avenue","Kirribilli","New South Wales","2061","Australia","50"
"Executive Hotel Vintage Court, Union Square","Venue",,"3","641 Bush Street","San Francisco","California","94108","United States","50"
"Marketview Hotel","Venue",,"3","60 Market Street","Wollongong","New South Wales","2500","Australia","50"
"Tonic Hotel","Venue",,"3","Lovedale 85 Lovedale Road","Lovedale","New South Wales","2325","Australia","50"
"Bishops Court Estate Boutique Hotel","Venue",,"3","226 Seymour Street","Bathurst","New South Wales","2795","Australia","50"
"Swiss Grand Hotel Bondi Beach","Venue",,"3","222 Campbell Parade","North Bondi","New South Wales","2026","Australia","50"
"Woolloomooloo Waters Apartment Hotel","Venue",,"3","45 Dowling Street","Woolloomooloo","New South Wales","2011","Australia","50"
"BLUE Sydney - A Taj Hotel","Venue",,"3",,"Woolloomooloo","New South Wales","2011","Australia","50"
"The Tuscan A Kimpton Hotel","Venue",,"2",,"San Francisco","California","94133","United States","50"
"Holiday Inn Express Hotel & Suites San Francisco Fishermans Wharf","Venue",,"2","555 North Point Street","San Francisco","California","94133","United States","50"
"San Remo Hotel","Venue",,"2","2222 Mason Street","San Francisco","California","94133","United States","50"
"Ramada State College Hotel And","Venue",,"2","1450 South Atherton Street","State College","Pennsylvania","16801","United States","50"
"Hotel Carlton, a Joie de Vivre Boutique Hotel","Venue",,"2","1065 Sutter Street","San Francisco","California","94109","United States","50"
"Embassy Suites Hotel San Rafael-Marin County/Conference Cntr","Venue",,"2","138-150 McInnis Parkway","San Rafael","California","94903","United States","50"
"Hotel Valencia Santana Row","Venue",,"2","2960 Stevens Creek Boulevard","San Jose","California","95128","United States","50"
"Host Airport Hotel","Venue",,"2","3501 Airport Boulevard West","Sacramento","California","95837","United States","50"
"Donatello Hotel","Venue",,"2","476 Mason Street","San Francisco","California","94102","United States","50"
"Lafayette Park Hotel & Spa","Venue",,"2","3287 Mount Diablo Boulevard","Lafayette","California","4029","United States","50"
"Renaissance Stanford Court Hotel","Venue",,"2",,"San Francisco","California","94108","United States","50"
"Holiday Inn Express Hotel & Suites Kent State University","Venue",,"2","4415 Ohio 43","Kent","Ohio","44240","United States","50"
"Holiday Inn Express Hotel & Suites Elk Grove","Venue",,"2","8335 Sirocco Court","Elk Grove","California","95758","United States","50"
"San Francisco Airport Hotel Carriage Inn","Venue",,"2","154 7th Street","San Francisco","California","2833","United States","50"
"Abode The Apartment Hotel","Venue",,"2","139B Anthony Rolfe Avenue","Gungahlin","Australian Capital Territory","2912","Australia","50"
"Diplomat Hotel","Venue",,"2","Hotel 2 Hely Street","Griffith","Australian Capital Territory","2603","Australia","50"
"Sydney Wattle Hotel","Venue",,"2","290 Palmer Street","Darlinghurst","New South Wales","2010","Australia","50"
"Arts Hotel Paddington","Venue",,"2","Rosebud Lane","Paddington","New South Wales","2021","Australia","50"
"Aria Hotel Canberra","Venue",,"2","48 Dooring Street","Dickson","Australian Capital Territory","2602","Australia","50"
"Bounce Hotel","Venue",,"2","20-28 Chalmers Street","Surry Hills","New South Wales","2010","Australia","50"
"Best Western Parklands Apartment Hotel","Venue",,"2","11 Rosevear Place","Dickson","Australian Capital Territory","2602","Australia","50"
"Cypress Lakes By Oaks Hotels A","Venue",,"2","15 Thompsons Road","Pokolbin","New South Wales","2320","Australia","50"
